brand,category,description,name,price_tier
shu uemura,Scalp Treatments,"What it is: A deeply hydrating hair mask infused with Japanese-sourced moringa oil and red algae for intense nourishment and hydration, detangling, adding shine, and protecting against future dryness.Hair Type: Fine, Medium, and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- Shine- FrizzKey Benefits: - Adds rich nourishment and hydrates- Leaves hair smooth with a healthy-looking shine- Protects and defends against the effects of environmental pollutantsHighlighted Ingredients:- Japanese Moringa Oil Extract: Rich in nutrients, vitamins, and antioxidants to catch pollutants and intensely purify.- Japanese Red Micro-Algae Extract: Rich in vitamins, minerals, and amino acids to support hair cell regeneration for future hydration.What Else You Need to Know: This intensely hydrating, professional hair mask for dry hair is formulated with precious Japanese-sourced moringa oil, also known as the ""miracle tree"" for its dense nutrients, to intensely hydrate, nourish, and protect hair from future dryness. Perfect for all hair types and textures, this color-safe hair mask smooths and detangles to leave hair healthy-looking with an enhanced shine.Fragrance Description: Top notes of a botanic blend are complemented by middle notes of camellia, white freesia, and heliotrope, and supported by base notes of powdery musk.",shu uemura Urban Moisture Deep Hydration Treatment Mask for Dry Hair in 6 oz/ 200 mL Image 2,mid-range
Davines,Hair Masks,"What it is: A three-minute, deep-conditioning mask that moisturizes and rejuvenates hair while improving softness and combability, in just one use.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Medium and ThickHair Concerns:- Dryness- ShineKey Benefits: - Moisturizes dry strands and scalps- Works in just three minutes- Intensely conditionsHighlighted Ingredients:- Hyaluronic Acid: Intensely moisturizes.- Red Clay: Removes impurities with its high iron content.Ingredient Callouts: This product is vegan.What Else You Need to Know: This deep-conditioning mask nourishes and hydrates in just three minutes, giving you softer, shinier, healthier hair in a hurry. It's formulated with hyaluronic acid for deep moisturization, as well as natural red clay for cleansing away impurities.",Davines The Quick Fix Circle Hair Mask for Deep Conditioning in 1.69 oz/ 50 ml Image 2,mid-range
Curlsmith,Hair Masks,"What it is: An intense pre-shampoo salve, rich in hair-bond-targeting proteins, that strengthens and repairs curls from the inside out.Hair Type: Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Dryness - FrizzKey Benefits: - Tames Frizz- Defines Curls- Targets Split Ends and Damaged HairHighlighted Ingredients:- Chia Proteins: Address damage to hair’s keratin structure. - Sweet Almond Oil: Seals nourishment into the hair shaft. Ingredient Callouts: Free of parabens, phthalates, mineral oil, and sulfates SLS & SLES. It is also vegan and cruelty-free.What Else You Need to Know: This formula’s powerful, superfood-rich blend targets all three types of hair bonds to restore hair-fiber strength. Fortifying proteins boost elasticity, and curls are left stronger, healthier, protected, and repaired.",Curlsmith Bond Curl Rehab Hair Salve in 2 oz / 59 mL Image 2,mid-range
Davines,Hair Masks,"What it is: A fast-acting hair mask for coarse or frizzy hair that adds softness and immediate anti-frizz action, facilitating straightening for a sleek and smooth result.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Frizz- Shine- Straightening and SmoothingKey Benefits: - Tames unwanted frizziness and volume- Facilitates straightening- 30-second processing timeHighlighted Ingredients:- Minuta Olive Extract: Fatty acids and vitamin E are nourishing, softening, and moisturizing.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It is also vegan. What Else You Need to Know: This mask is infused with Minuta olive extract, which is abundant in fatty acids and vitamin and therefore contributes to boost hair's shine and elasticity. Slow Food Presidia support small producers so they can continue to grow traditional and artisanal products and plants that are at risk of disappearing.",Davines LOVE Smoothing Instant Hair Mask for Frizzy Hair in 8.91 oz/ 250 ml Image 2,mid-range
Oribe,Hair Masks,"What it is: A luxe, nutrient-rich mask that revives and restores overworked hair.Hair Type: Fine, Medium, and ThickHair Texture:Coily, Curly, Straight, and Wavy Hair Concerns:- Dryness- Shine - Color Safe Key Benefits: - Deeply hydrates and conditions- Moisturizes and softens - Delivers incredible shineHighlighted Ingredients:- Macadamia Nut Seed Oil: Smooths hair and delivers antioxidant protection.- Wild Mango Butter: Improves shine and combability.- Oribe Signature Complex: Defends hair from environmental elements, oxidative stress, photoaging, and the deterioration of natural keratin.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, mineral oil, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: Enjoy a super-rich indulgence with the crème de la crème of hair masks. This hydrating formula transforms even the driest hair, giving you the healthier-looking locks you long for. Antioxidants and wild mango butter protect against dryness and increase shine, leaving your hair supremely soft.All Oribe products are dermatologist tested and formulated with safe, high-quality, innovative ingredients. They are also PETA approved, UV protective, and color- and keratin-treatment safe.Fragrance Description: Created in collaboration with one of the oldest French Fragrance houses, Oribe’s signature scent, Côte d’Azur, features sun-drenched notes of Calabrian bergamot, white butterfly jasmine, and sandalwood—embodying the glamour and heat of the legendary destination.",Oribe Signature Moisture Hair Mask in 5.9 oz/ 175 mL Image 2,premium
Living Proof,Leave-In Conditioner,"What it is: A weekly leave-in, repair treatment clinically proven to rebuild the structure of hair. This patent-pending technology makes hair 8x stronger*, smoother and shinier after one use. Leave this 450 heat protectant on for 10 minutes before adding your styler and heat for best results. Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Damage/Split Ends/Breakage- Heat Protection- ShineKey Benefits: - Clinically Proven to Reconstruct Hair- Repairs and Protects Against Damage- Stylists Prefer Over Leading Bond-BuilderHighlighted Ingredients:- 3-D Fortifying Technology: Patent-pending tech forms a 3-D network to help rebuild and resist damage.- Encapsulated Cellular Oil: Helps defend hair against thermal and UV damage and color fading.- Biomimetic Emollient Blend: Smooths and aligns hair fibers, resulting in softness and shine.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also cruelty-free and comes in recyclable packaging.What Else You Need to Know: This leave-in formula is good for all hair types and levels of damage. This leave-in formula is clinically shown to rebuild the structure of your hair via a patent-pending technology to prevent breakage, reduce visible signs of split ends, and offer heat protection up to 450°F/232°C.CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",Living Proof Triple Bond Complex Leave-in Hair Treatment in 1.5 oz / 45 mL Image 2,mid-range
OUAI,Hair Masks,"What it is: A silicone-free cream that defines curls, reduces frizz, and adds shine.Hair Type: Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Dryness- FrizzKey Benefits: - Enhances, defines, and shapes curls- Hydrates and softens curls- Tames frizz and flyawaysHighlighted Ingredients:- Chia and Linseed Oils: Form and shape curls, control frizz, and protect hair from humidity.- Coconut Oil: Seals damaged cuticles and hydrates.- Babassu Oil: Conditions, softens, and enhances shine.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: This hydrating curl cream is safe for color-treated hair, keratin treatments, and chemically treated hair. It's scented with North Bondi—a floral fragrance with notes of bergamot, violet, and white musk.Fragrance Description: A beautiful floral fragrance, North Bondi features notes of bergamot, Italian lemon, Rose de Mai, magnolia, lily, blackberry, violet, cedarwood, amber, patchouli, sandalwood, and white musk.",OUAI Curl Cream with North Bondi Fragrance in 8 oz/ 236 mL Image 2,premium
shu uemura,Hair Masks,"What it is: A multi-benefit treatment mask that deeply nourishes hair for long-lasting frizz control and hair that’s 16 times smoother and three times shinier. Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Frizz- Shine- Straightening and SmoothingKey Benefits: - Enhances hair shine and smoothness- Manages scalp health and leaves scalp balanced and healthy- Thoroughly nourishes for intensely revitalized hairHighlighted Ingredients:- Ashitaba Extract: Supports scalp and hair health for less breakage and more softness and shine.- Ferulic Acid: Antioxidant that forms a shield around the hair to preserve vibrancy and strength.What Else You Need to Know: This silicone-, sulfate-, and paraben-free mask is formulated with the rare, precious, Japanese-sourced ingredients ashitaba and ferulic acid. This rich mask intensely nourishes and detangles hair for long-lasting frizz control, leaving hair sixteen times smoother and three times shinier. It is designed for all hair types and supports holistic hair health.Clinical Results: When used as system of Ashita Supreme Shampoo, Mask, and Serum vs. non-conditioning shampoo​:- 16X instantly smoother hair- 99% stronger hair- Instantly reduces breakageWhen using Ashita Supreme Hair Serum vs. non-conditioning shampoo​:- Instant and long-lasting frizz control ​When using Ashita Supreme Shampoo vs. unwashed hair:- 3X instantly enhanced shine",,mid-range
Kérastase,Hair Masks,"What it is: An ultra-violet, anti-brass nourishing hair mask that neutralizes brassy and yellow undertones in lightened, cool blonde, bleached, or grey hair.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Color Safe- Brassiness- Color FadingKey Benefits: - Neutralizes brassy and yellow undertones- Nourishes and strengthens damaged blonde hair- Enhances softness and shineHighlighted Ingredients:- Hyaluronic Acid: Ultra concentrated acid to strengthen damaged hair, prevent future breakage, and seal cuticles.- Edelweiss Flower: Rich in antioxidants to protect against daily damage and soften sensitized hair.- Ultra-Violet Neutralizers: Highly concentrated pigments that neutralize and remove brassy and yellow undertones.What Else You Need to Know: A one-of-a-kind for professional blonde color care, this ultra-nourishing hair mask neutralizes unwanted brassy and yellow undertones. Uniquely formulated with hyaluronic acid and edelweiss flower, this mask is perfect for strengthening and resurfacing damaged hair for a flawless blonde result.",Kérastase Blond Absolu Anti-Brass Purple Hair Mask in 6.8 oz/ 200 mL Image 2,premium
Fenty Beauty by Rihanna,Hair Masks,"What it is: A pro-grade bond-building treatment great for all hair types, especially those damaged from heat styling, chemical services and coloring that penetrates deep into the cortex to provide instant inside-out repair and up to 75% improvement in damage. Use it in place of conditioner.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- FrizzKey Benefits: - Up to 75 visible percent improvement in damage- Targets split ends and reduces breakage- Fast results after just one useHighlighted Ingredients:- Fenty Beauty by Rihanna’s Proprietary Complex, Replenicore-5: Clinically tested to visibly repair and strengthen, hydrate, smooth, and protect.- Baobab Seed Extract: Known to help strengthen and nourish.- Chia Seed Extract: Known to reinforce hair bonds and visibly repair.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: With a proprietary bond-building formula, powered by amino acids, chia seed extract and a unique complex, Replenicore-5, you’ll see up to 75% improvement in damage*. Hair instantly looks and feels healthier, moisturized, softer and smoother with just one use. Leave it in or rinse it out.Fragrance Description: Luxe, rich, bright—the scent of a new era. Fenty Hair’s signature warm, ambery floral fragrance drips you in notes of sparkling yuzu, golden amber, soothing florals, indulgent vanilla and creamy sandalwood. Clinical Results: In an 8-week clinical study on 31 people, when used as a leave-in results showed:- Up to 75% improvement in damage- Up to 72% stronger hairIn a clinical study with 31 people across all hair types, after the first use:- 100% agree this formula immediately makes hair look healthier and feel smootherClean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness.",Fenty Beauty by Rihanna The Comeback Kid Instant Damage Repair Hair Treatment in 5 oz Image 2,mid-range
adwoa beauty,Hair Masks,"What it is: A reparative treatment mask that detoxes, reduces breakage, and strengthens hair suffering from color, thermal, or environmental damage.Hair Type: Medium and ThickHair Texture: Wavy, Curly, and CoilyHair Concerns: - Damage/Split Ends/Breakage - Anti-Aging - FrizzKey Benefits: - Strengthens damaged hair- Enhances shine and reduces frizz- Improves curl definitionHighlighted Ingredients:- Moroccan Lava Clay: Removes impurities and excess oil from the scalp and imparts shine.- Hydrolyzed Quinoa: Promotes hair growth, prevents breakage, and transforms dull, lifeless hair.- Mango Butter: Fortifies and softens dry hair, reduces breakage, and smooths split ends.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This emollient mask contains plant protein extracts to prevent breakage and seal highly porous hair. Moroccan lava clay, blue tansy flower oil, and spirulina extract work to soothe the scalp, reduce frizz, and promote shine. As a naturally derived product, it is normal for specks of some ingredients to be visible.Fragrance Description: This hair mask contains floral notes of natural tuberose, jasmine bud extract, ylang-ylang, orris concrete, benzoin, and musks.CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",adwoa beauty Blue Tansy Reparative Mask in 16 oz/ 453 mg Image 2,mid-range
Davines,Hair Masks,"What it is: A relaxing hair mask that improves combability, hydration, and softness—for dry or stressed strands and scalps.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Medium and ThickHair Concerns:- Dryness- ShineKey Benefits: - Moisturizes dry strands and scalps- Has a rebalancing, stress-reducing effect- Features a relaxing scentHighlighted Ingredients:- Brahmi Oil: Energizes and rehydrates.- Sweet Orange Essential Oil: Promotes mental relaxation.Ingredient Callouts: This product is vegan.What Else You Need to Know: Enriched with plant-derived oils, this hydrating hair mask visibly rebalances strands and scalps experiencing dryness and irritation due to stress, environmental factors, and weather. It softens hair and enhances relaxation, making you feel as though you're enjoying a salon treatment at home.",Davines The Let It Go Circle Hair Mask for Relaxation & Hydration in 1.69 oz/ 50 ml Image 2,mid-range
Function of Beauty PRO,Hair Masks,"What it is: A Hair Goal Concentrate that promotes definition without weighing down your curls. Help further define your curls and coils by adding this concentrate to any Function of Beauty PRO product to customize your formula.Hair Texture: Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Frizz- Oily ScalpKey Benefits: - Provides curl definitionHighlighted Ingredients:- Chia and Flax Seed Extract: Help curl definition.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Add this Hair Goal Concentrate to your Function of Beauty PRO Shampoo or Conditioner Mask to fully customize your formula. Add up to three Hair Goal Concentrates per product to address a range of haircare concerns. Due to the concentration of natural ingredients the formulas may appear colored.Fragrance Description: Fragrance-Free",Function of Beauty PRO Curl and Coils Defining Hair Goal Concentrate Mix-In in 0.13 oz / 4 mL - Curl and Coils Defining Concentrate Image 2,mid-range
Briogeo,Hair Styling Products,"What it is: A scalp mask that nourishes and soothes an itchy, irritated, flaky scalp with a blast of instant cooling and is clinically shown to improve hydration.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Flaky, Dry Scalp - Dryness- ShineKey Benefits: - Increases scalp hydration and restores vital moisture post-exfoliation - Soothes, nourishes, and detoxifies scalp- Clean and naturally derived, formulated 6-free™, and made with Briogeo’s proprietary NOVA Complex® that purifies, nourishes, and refreshesHighlighted Ingredients:- Binchotan Charcoal: Detoxifies the scalp and draws out impurities that clog the hair follicle or cause buildup on the scalp. - Tea Tree, Peppermint, and Spearmint Oils: Provide a cooling effect to the scalp and reduce itchiness and flakiness.- Hydration Complex (Hyaluronic Acid and Aloe Vera): Balance hydration to prevent future dryness and flakiness.Ingredient Callouts: It is vegan, gluten-free, and cruelty-free. What Else You Need to Know: Binchotan charcoal draws out impurities while a blend of aloe vera and hyaluronic acid increases scalp hydration. A refreshing combination of tea tree, peppermint, and spearmint oils quickly soothes with an immediate cooling effect. For optimal results, use this scalp mask after exfoliating with Scalp Revival™ Charcoal + Coconut Oil Micro-Exfoliating Scalp Scrub Shampoo (sold separately). It’s also formulated with 98 percent naturally derived ingredients.Clinical Results: In a clinical study using skin hydration measurement instrumentation, results included:- Clinically shown to increase scalp hydration by up to 144% In a clinical study with expert clinician evaluation, results included:- Clinically shown to reduce up to 89% of dry scalp flaking after one useAccording to a subject‘s perception in a clinical study following a single use of Scalp Revival™ Charcoal + Coconut Oil Micro-Exfoliating Shampoo in a clinical study, results included:- 91% of users felt their scalp was calmed and soothed after one use Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.This product is an Allure Best of Beauty award winner.","Briogeo Scalp Revival™ Charcoal + Tea Tree Cooling Hydration Mask for Dry, Itchy Scalp in 6 oz/ 177 mL Image 2",mid-range
Bumble and bumble,Hair Masks,"What it is: A moisturizing hair mask that revives over-worked or over-styled curly hair for soft, springy styles. Plus, it reduces frizz and replenishes moisture.Hair Type: Fine, Medium, and ThickHair Texture: Wavy, Curly, and CoilyHair Concerns:- Curl Enhancing- Dryness- FrizzKey Benefits: - Hydrates and replenishes moisture- Detangles and softens hair- Reduces frizz and adds shineFormulation: MaskHighlighted Ingredients:- Blend of Oils (Avocado Oil, Coconut Oil, Jojoba Oil): Deeply hydrates hair- Blend of Butters (Cocao Butter and Shea Butter): Deeply hydrates hairIngredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil. This product is also vegan and cruelty-free.What Else You Need to Know: This hair mask is enhanced with a rich blend of avocado, coconut, and jojoba oils and shea and cocoa butters to deeply moisturize curly hair. Ideal for all curl patterns seeking an ultra-moisturizing mask.Fragrance Description: Top notes of sparkling pink grapefruit and sweet lemons elevate the freshness of this fragrance's signature floral heart of jasmine and muguet, transitioning into a warm, creamy backdrop of woods and musk.",Bumble and bumble Curl Butter Hair Mask in 6.7 oz/ 200 mL Image 2,mid-range
Davines,Hair Masks,"What it is: A blonde hair treatment that immediately brightens all blonde hair tones while repairing damaged hair fibers and protecting them from future breakage.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Brassiness- Color Fading- Color SafeKey Benefits: - Repairs and illuminates blonde hair- Helps prevent hair fiber breakage- Hair is left elastic, nourished, tamedHighlighted Ingredients:- Baobab Extract: Deeply conditions, nourishes, and tames the hair.Ingredient Callouts: This product is vegan.",Davines Heart of Glass Intense Hair Treatment for Blondes in 5.07 oz/ 150 ml Image 2,mid-range
Pureology,Hair Masks,"What it is: A high-gloss clear topcoat that restores shine and vibrancy and leaves hair soft and silky for beautifully reflective hair color.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Shine- Color Safe- BrassinessKey Benefits: - Adds shine and reflective finish- Softens hair- Restores color vibrancyHighlighted Ingredients:- Oat Milk: Smooths and softens hair.- Camellia Oil: Conditions and nourishes hair.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and cruelty-free.What Else You Need to Know: This high-gloss topcoat is formulated for natural or dark brunette-to-black shades needing an overall color refresh and a shiny, reflective finish. It is easy to use with a precision twist tip for controlled application and spreadability for a more uniform, instant result in as little as five minutes.Fragrance Description: This formula includes a signature aromatherapy blend of rose, floral ginger, and cedarwood.",Pureology Color Fanatic Top Coat + Clear Hair Gloss in Clear Image 2,mid-range
Curlsmith,Hair Masks,"What it is: A soothing, deep-conditioning mask that delivers moisture to the scalp and hair without weighing hair down.Hair Type: Wavy, Curly, and CoilyHair Texture: Fine and MediumHair Concerns:- Curl-Enhancing- Dryness- FrizzKey Benefits: - Detangles- Hydrates- Leaves Hair Smooth and SilkyHighlighted Ingredients:- Shea Butter: Moisturizes.- Hyaluronic Acid: Delivers lightweight hydration. Ingredient Callouts: Free of parabens, phthalates, mineral oil, and sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: With a lightweight, buttery formula that melts into hair, this versatile mask has great slip for easy detangling. Use it weekly for shiny, silky hair.",Curlsmith Hydro Cream Soothing Deep Conditioner Hair Mask in 8 oz / 237 mL Image 2,mid-range
Briogeo,Hair Masks,"What it is: A lightweight, Superfood-infused mask with a water-cream texture to deeply hydrate fine strands without sacrificing volume or weighing hair down, infused with a juicy, tropical, passionfruit-inspired scent.Hair Texture: Straight, Wavy, and CurlyHair Type: Fine and MediumHair Concerns:- Dryness- Frizz- ShineKey Benefits: - Quenches dry, delicate strands with healthy hydration- Visibly improves softness and shine for healthier-looking hair- Contains a concentrated blend of phytonutrients that nourishes hair without sacrificing volumeHighlighted Ingredients:-Acai Extract : Protects strands from environmental aggressors.-Passionfruit Oil: Boosts moisture and adds shine.-Hydration Complex: Deeply hydrates parched hair.Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.What Else You Need to Know: Infused with antioxidant-rich ingredients like açaí extract and passionfruit oil, this protein-free hair mask locks in hydration to quench thirsty strands without weighing them down. The light-as-air water-cream texture nourishes fine-to-medium hair types for softer, smoother, more manageable results.Fragrance Description: Sweet, slightly tart berries meet fresh, crisp greens layered with a juicy, tropical finish.Clinical Results: A controlled study showed:- Softer, smoother, more manageable hair in 5 minutesClean + Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.","Briogeo Superfoods™ Acai + Passionfruit Lightweight, Hydrating Hair Mask for Fine Hair in 8 oz/240ml Image 2",mid-range
Rossano Ferretti Parma,Hair Masks,"What it is: A mask, which is good for all dry hair types, that softens hair, leaving it silky smooth, shiny, and hydrated.Hair Type: Fine, Medium, and ThickHair Texture: Coily, Curly, Straight, and Wavy Hair Concerns:- Dryness- Frizz- Damage, Split Ends, and BreakageKey Benefits: - Ultra-Moisturizing with Anti-Frizz Properties- Nourishes and Softens Dry Hair- Adds Shine and StrengthHighlighted Ingredients:- Green Tea: Contains natural antioxidants to calm and soften hair and scalp.- Keratin: Improves elasticity and protects against cuticle damage.- Shea Butter: Soothes, moisturizes, and supports healthy-looking, shiny hair.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This is a luxuriously rich, travel-size hair mask that nourishes and intensely hydrates dry, frizzy hair. It adds softness and shine without weighing hair down. This mask is made with over 97 percent natural ingredients that help moisturize and support hair while leaving a subtle scent of vanilla and caramel. Fragrance Description: Fruity notes of peach and mandarin combine with vanilla and caramel for memories of sweet treats.",Rossano Ferretti Parma Mini Dolce Nourishing Hair Mask in 1.7 oz / 50 mL Image 2,mid-range
Bumble and bumble,Hair Masks,"What it is: An instant hair treatment that builds three essential bonds to fortify and add shine. Hair Texture: Straight, Wavy, and CurlyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- ShineKey Benefits: - Builds bonds- Increases shine- Detangles and softensHighlighted Ingredients:- Honey Bond-Building TripleBond Complex: Builds three types of bonds in hair instantly.- Micellar Conditioning Technology: Lifts away impurities, conditions, and adds shine.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This treatment is powered by Bumble and bumble’s Honey Bond-Building TripleBond Complex, which builds three types of bonds (hydrogen, ionic, and covalent) in the cortex to help fortify hair from the inside out. Micellar Conditioning Technology attracts and lifts away impurities while conditioning and adding shine.Fragrance Description: A smile-inducing hint of citrus, florals, and woods revive the senses while you build bonds to help fortify. Clinical Results: In a study with results recorded (vs. unwashed hair): - Builds the 3 essential bond types - Provides 2 times the shine",Bumble and bumble Mini Bond-Building TripleBond Flash Rinse for Damaged Hair in 1.8 oz/250 mL Image 2,mid-range
Davines,Hair Masks,"What it is: A fast-acting hair mask for coarse or frizzy hair that adds softness and immediate anti-frizz action, facilitating straightening for a sleek and smooth result.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Frizz- Shine- Straightening and SmoothingKey Benefits: - Tames unwanted frizziness and volume- Facilitates straightening- 30-second processing timeHighlighted Ingredients:- Minuta Olive Extract: Fatty acids and vitamin E are nourishing, softening, and moisturizing.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It is also vegan. What Else You Need to Know: This mask is infused with Minuta olive extract, which is abundant in fatty acids and vitamin and therefore contributes to boost hair's shine and elasticity. Slow Food Presidia support small producers so they can continue to grow traditional and artisanal products and plants that are at risk of disappearing.",Davines Mini LOVE Smoothing Instant Hair Mask for Frizzy Hair in 2.67 oz/ 75 ml Image 2,mid-range
Verb,Hair Masks,"What it is: A light-as-air, deep-conditioning treatment designed for easily weighed-down hair.Hair Texture: Straight, Wavy, and CurlyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Frizz- ShineKey Benefits: - Weightlessly hydrates and nourishes- Smooths frizz and adds shineHighlighted Ingredients:- Moringa Oil: Is a lightweight oil rich in fatty acids that works to smooth and defrizz hair.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It is also vegan and cruelty-free.What Else You Need to Know: Powered by moringa oil, this mask smooths frizz and promotes shine. Whenever your hair could use some extra TLC, cocktail with a pump of Ghost Weightless Hair Oil (sold separately), leave on overnight, and rinse off in the morning. Fragrance Description: This product has a grapefruit-oatmeal scent.",Verb Ghost Weightless Hair Mask for Fine Hair in 6.3 oz/ 180 g Image 2,affordable
AAVRANI,Hair Masks,"What it is: A pillowy-soft, intensely conditioning mask that intensely hydrates and nourishes, leaving hair 16X softer and smoother in as little as 2 uses.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage, Split Ends, and BreakageKey Benefits: - Intensely moisturizes and nourishes- Improves manageability and softness- Cares for damage and strengthens hairHighlighted Ingredients:- Mowrah Butter: Intensely hydrates and addresses breakage.- Rice Protein: Is an amino-acid-rich ingredient that protects against damage and boosts volume and shine.- Biotin: Enhances the structure of keratin, boosting hair’s health and volume.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.What Else You Need to Know: Powered by Ayurveda and clinical science, this pillowy-soft, creamy mask intensely nourishes, moisturizes, and cares for dry, brittle, damaged hair. It’s formulated with mowrah butter, rice protein, and biotin to leave strands 16X softer and smoother while reducing breakage and smoothing split ends.This product is vegan, color safe, and safe for use while pregnant or nursing.Fragrance Description: Soft jasmine blends with fresh citrus and leafy-green top notes, while white rose, orange blossom, and black tea enhance lingering base notes of patchouli, sandalwood, and white musk.Clinical Results: In a 2-week clinical study with 40 subjects, after 2 uses, results showed:- 16X softer, smoother hair- Hair breakage reduced by 60%- 3X stronger hairCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.","AAVRANI Deep Conditioning Hair Mask for Dry, Damaged Hair in 8.4 oz Image 2",mid-range
